year,experiment,plot,subplot,bg.species,competition.density,host,mean.dam,leaves.dam,leaves.tot,prop.dam,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2016,competition,competition_2,competition_2,All,1,AB,0.017,2,3,0.6666666666666666,6,179.77777777777789,1,non-native,185.77777777777789,-0.27634974562323583,-0.20224722804150766
2016,competition,competition_2,competition_2,All,1,BD,5e-4,1,2,0.5,6,179.77777777777789,1,non-native,185.77777777777789,-0.27634974562323583,-0.20224722804150766
2016,competition,competition_2,competition_2,All,1,BH,0.017,2,3,0.6666666666666666,6,179.77777777777789,1,non-native,185.77777777777789,-0.27634974562323583,-0.20224722804150766
2016,competition,competition_2,competition_2,All,1,EG,6.666666666666666e-4,2,3,0.6666666666666666,6,179.77777777777789,0,native,185.77777777777789,-0.27634974562323583,-0.20224722804150766
2016,competition,competition_2,competition_2,All,1,SP,0.017333333333333333,3,3,1,6,179.77777777777789,0,native,185.77777777777789,-0.27634974562323583,-0.20224722804150766
2016,competition,competition_2,competition_2,All,1,EG,0.03666666666666667,3,3,1,6,179.77777777777789,0,native,185.77777777777789,-0.27634974562323583,-0.20224722804150766
2016,competition,competition_2,competition_2,All,1,SP,0.023333333333333334,3,3,1,6,179.77777777777789,0,native,185.77777777777789,-0.27634974562323583,-0.20224722804150766
2016,competition,competition_4,competition_4,All,1,AB,0.020333333333333332,3,3,1,5,366,1,non-native,371,-0.29464400943941493,0.23652237414564592
2016,competition,competition_4,competition_4,All,1,BH,0.020333333333333332,3,3,1,5,366,1,non-native,371,-0.29464400943941493,0.23652237414564592
2016,competition,competition_4,competition_4,All,1,EG,0.05,2,3,0.6666666666666666,5,366,0,native,371,-0.29464400943941493,0.23652237414564592
2016,competition,competition_4,competition_4,All,1,SP,0.017333333333333333,3,3,1,5,366,0,native,371,-0.29464400943941493,0.23652237414564592
2016,competition,competition_4,competition_4,All,1,SP,0.08333333333333334,3,3,1,5,366,0,native,371,-0.29464400943941493,0.23652237414564592
2016,competition,competition_5,competition_5,All,1,AB,0.006999999999999999,3,3,1,4.5,272,1,non-native,276.5,-0.30379114134750446,0.01504320740917089
