year,otu.id,taxonomy,native_abundance,native_rank,nonnative_abundance,nonnative_rank
2015,8,Pyrenophora cf. tritici-repentis,20,1,0,NA
2015,3,Ramularia cf. proteae,13,2,11,4
2015,1,Alternaria cf. infectoria,8,3,21,1
2015,5,Pyrenophora cf. lolii,7,5,18,2
2016,2,Drechslera sp.,112,1,104,1
2016,1,Alternaria cf. infectoria,27,2,24,3
2016,4,Pyrenophora cf. chaetomioides,3,13,33,2
2017,1,Alternaria cf. infectoria,63,1,35,1
2017,3,Ramularia cf. proteae,13,2,12,4
2017,4,Pyrenophora cf. chaetomioides,7,8,29,2
